iter	Passed	Remaining
0	0	88
1	1	81
2	2	85
3	3	78
4	4	80
5	5	79
6	5	78
7	6	76
8	7	75
9	8	75
10	9	74
11	10	73
12	10	72
13	11	71
14	12	69
15	12	68
16	13	66
17	14	65
18	14	63
19	15	62
20	16	61
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	20	56
27	21	54
28	22	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	39
45	33	39
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	37	33
53	38	32
54	39	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	68	0
